"id","product_name","product_category","product_price","product_image","product_description","created_at","updated_at"
"6","Porto’s Big Breakfast","Breakfast",60000,"Porto_s Big Breakfast.jpeg","satisfying meal with Balinese Pork Sausage, pork bacon crisp, jiggly scramble egg, french toast and vegetable.","2024-06-27 07:45:38","2024-06-27 07:45:38"
"7","Porto’s Burger (Chicken/Beef)","Breakfast",68000,"Burger (Pad).jpeg","100% homemade signature blend beef or chicken patty topped with cheddar, lettuce, tomato and sunny side up.","2024-06-27 07:46:45","2024-06-27 07:46:45"
"8","Classic French Toast","Breakfast",25000,"Classic French Toast.jpeg","Classic French Toast with 5 choice of Topping (Plain, Srikaya, Nutella, Skippy, Special Mix).","2024-06-27 07:49:16","2024-06-27 07:49:16"
"9","Porto’s Sandwich (三明治)","Breakfast",32000,"Sandwich.jpeg","Slices of smoked Beef with cheese and egg, paired with Porto’s super soft sandwich bread.","2024-06-27 07:49:50","2024-06-27 07:49:50"
"10","Oriental Sandwich (雞排蔥油餅)","Breakfast",35000,"Oriental Sandwich.jpg","Crispy Chinese, savory scallion pancake or known as Cong You Bing served with juicy chicken thigh, egg and fresh vegetables in the most Oriental way.","2024-06-27 07:50:28","2024-06-27 07:50:28"
"11","RoPang","Breakfast",25000,"Ropang.jpg","Classic Bread Toast with 10 choice of Topping (Chocolate / Cheese / Choco Cheese / Banana Choco Cheese / Srikaya / Biscoff / Nutella / Skippy / Ovomaltine / Special Mix)","2024-06-27 07:51:31","2024-06-27 07:51:31"
"12","Nasi Goreng HK","Main Dish",42000,"Nasi Goreng HK01.jpg","Little cubes of luncheon meat hit a hot greased wok and start getting delightfully crisp, mixing with egg, rice and home seasoning transformed into delicious HK Style Fried Rice.","2024-06-27 07:58:44","2024-06-27 07:58:44"
"13","Nasi Goreng Tom Yum","Main Dish",42000,"nasgortomyam.png","Thai Style fried rice served with prawn, wedges of tomato and pineapple for a truly authentic experience, giving a refreshing twist to your taste bud.","2024-06-27 08:05:33","2024-06-27 08:05:33"
"14","Nasi Goreng Kampung","Main Dish",40000,"nasgor kampung.jpg","Countryside fried rice with diced chicken meat and ikan teri, dish up with fried egg, acar and emping.","2024-06-27 08:06:08","2024-06-27 08:06:08"
"15","Mie Tomat / Telur","Main Dish",45000,"MieTomat2.jpg","This Authentic Medan noodle dish is served with an aromatic broth made of fresh tomato and egg drop that bring a great taste.","2024-06-27 08:06:32","2024-06-27 08:06:32"
"16","Pork Thai Basil (泰式羅勒豬肉飯)","Main Dish",42000,"PorkThaiBasil.jpg","A Stir fry fresh ground pork with fragrant Thai Basil, giving the taste of slightly spicy, salty and sweet, the perfect taste blend.","2024-06-27 08:06:55","2024-06-27 08:06:55"
"17","Khew Nyuk Bowl","Main Dish",75000,"khewnyuk.jpg","The Famous Hakka dish, also known as Kou Rou (扣肉), braised pork belly with dried pickled Chinese mustard","2024-06-27 08:07:19","2024-06-27 08:07:19"
"18","Sweet and Sour Chicken Bowl","Main Dish",42000,"sweet n sour.jpg","Chicken, pineapple, cucumber and bell pepper coated in sweet Zand sour sauce. Crispy on the outside, juicy on the inside.","2024-06-27 08:07:45","2024-06-27 08:07:45"
"19","Sambal Matah Bowl","Main Dish",28000,"Sambal Matah Bowl.jpg","A choice of Rice Bowl or Indomie Goreng served with Bali Pork Sausage and sunny side up, paired with heavenly Sambal Matah.","2024-06-27 08:08:48","2024-06-27 08:08:48"
"20","Linguine Carbonara","Main Dish",45000,"linguine carbonara01.jpg","Creamy linguine pork bacon cooked together and tossed in a cheesy, rich egg yolk mixture.","2024-06-27 08:09:17","2024-06-27 08:09:17"
"21","Spaghetti Aglio Olio","Main Dish",40000,"Spaghetti Aglio Olio.jpg","Lightly sauteeing sliced pork bacon and sausages, minced garlic in olive oil, with the addition of dried red chili flakes and basil, tossing with spaghetti.","2024-06-27 08:09:42","2024-06-27 08:09:42"
"22","Kue Talas (芋頭糕)","Snack",33000,"KueTalas.jpg","Served in a portion of 2 pieces of yam cake, made with loads of diced yam, lap cheong, mushroom and dried prawn.","2024-06-27 08:15:04","2024-06-27 08:15:04"
"23","Kue Lobak (菜頭糕)","Snack",30000,"Kue Lobak.jpg","Served in a portion of 5 petite pieces of radish cake, made with fresh white radish, lap cheong and dried prawn. It can be served in either Pan-fried or Steam.","2024-06-27 08:15:33","2024-06-27 08:15:33"
"24","Pempek Palembang","Snack",40000,"Pempek Palembang.jpg","Deep-fried savoury fishcakes (kapal selam, adaan, kulit, keriting, lenjer) served with its signature dark fiery sweet and sour sauce.","2024-06-27 08:16:16","2024-06-27 08:16:16"
"25","Singkong Goreng","Snack",30000,"Singkong Goreng.jpg","Thick wedges, deep-fried into golden brown, which makes them crispy on the outside and soft but densely textured on the inside.","2024-06-27 08:16:42","2024-06-27 08:16:42"
"26","Pisang Goreng","Snack",30000,"Pisang Goreng.jpg","Banana covered in batter deep-fried to golden brown. Special : Pisang Goreng flooded with shredded cheese, chocolate meises, and condensed milk.","2024-06-27 08:17:23","2024-06-27 08:17:23"
